Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.005554199,-0.0176425,-0.07482338,0.005684376,1.470681,187.5941,0.7552465,-0.05748892,-0.3052233,-0.2452016,303.6479,167.2736,13.77383,False,-0.1648307,-0.3222247,-0.1653175,339.1716,270.3682,310.5952,False
0.0166626,-0.01794386,-0.0749948,0.005818844,1.568204,187.7379,0.7602116,-0.05732346,-0.3056064,-0.2450404,303.6795,167.144,13.77695,False,-0.1650209,-0.3226113,-0.1655121,339.2518,270.1656,310.8307,False
0.027771,-0.01833582,-0.07516837,0.005815983,1.66974,187.8743,0.7820585,-0.05719137,-0.3059223,-0.2450337,303.7398,167.1171,13.7014,False,-0.164854,-0.3229814,-0.1659274,339.2614,270.0182,310.9894,False
0.03887939,-0.01872206,-0.07540739,0.005660057,1.784794,187.9991,0.7854913,-0.05715942,-0.3063609,-0.2449465,303.748,167.0081,13.72181,False,-0.1649213,-0.3235903,-0.1661396,339.3235,269.879,311.1808,False
0.04998779,-0.01899624,-0.07557487,0.005766392,1.885603,188.139,0.7886472,-0.05705404,-0.3067259,-0.2447762,303.7839,166.9212,13.71764,False,-0.1650496,-0.3238978,-0.1662107,339.3452,269.7757,311.3707,False
0.06109619,-0.01936007,-0.07572341,0.005687714,1.982165,188.2693,0.7897457,-0.05694389,-0.3070368,-0.244761,303.8393,166.8749,13.72818,False,-0.1648331,-0.3242549,-0.1665454,339.3351,269.6836,311.5301,False
0.07220459,-0.01971006,-0.07599413,0.005395412,2.093778,188.3783,0.7922745,-0.05695391,-0.3074418,-0.2446675,303.8998,166.7708,13.81611,False,-0.1648107,-0.3246788,-0.1666222,339.3043,269.6534,311.6226,False
0.08331299,-0.01997614,-0.07610941,0.005383492,2.162565,188.5203,0.7926871,-0.05694389,-0.3078831,-0.2447004,303.9365,166.6666,13.89907,False,-0.1649098,-0.3249036,-0.1665411,339.241,269.6364,311.6493,False
0.09442139,-0.02033138,-0.07619429,0.005245686,2.234968,188.6404,0.797945,-0.05699635,-0.308211,-0.2447133,304.0018,166.6601,13.94794,False,-0.166379,-0.3246971,-0.1655545,339.2204,269.5891,311.6284,False
0.1055298,-0.02066517,-0.07640171,0.005039692,2.319854,188.7589,0.7830446,-0.05714989,-0.3085538,-0.244617,304.0454,166.593,14.04457,False,-0.1665916,-0.3248128,-0.1653938,339.116,269.5977,311.6098,False
0.1166382,-0.03112841,-0.07645357,0.006432056,2.454269,189.003,0.8018931,-0.0676055,-0.3090368,-0.242754,304.0247,166.4621,14.24652,False,-0.1773686,-0.3247687,-0.162878,338.9182,269.66,311.5334,False
0.1277771,-0.03112841,-0.07645357,0.006432056,2.454269,189.003,0.8018931,-0.0676055,-0.3090368,-0.242754,304.0247,166.4621,14.24652,False,-0.1773686,-0.3247687,-0.162878,338.9182,269.66,311.5334,False
0.1388855,-0.04136133,-0.07641089,0.007825375,2.517163,189.1086,0.7866836,-0.07768917,-0.3091244,-0.2410808,303.9921,166.3757,14.39226,False,-0.187562,-0.3247368,-0.1611066,338.8466,269.7084,311.5274,False
0.1499939,-0.05143023,-0.07632101,0.009408951,2.567781,189.2263,0.7881953,-0.08778858,-0.309329,-0.2394819,303.9263,166.2852,14.61935,False,-0.1977973,-0.3246827,-0.1592999,338.7958,269.791,311.5175,False
