Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.004573822,-0.01016474,-0.4628923,0.01250696,354.4242,184.7876,358.058,-0.02888632,-0.7336199,-0.2438176,309.9982,158.5027,13.18643,False,-0.1269722,-0.7342559,-0.2153313,329.9686,238.9269,335.4034,False
0.01568604,-0.01044798,-0.4626591,0.01263165,354.3506,184.9187,358.0659,-0.03121901,-0.7324375,-0.2448511,309.938,159.511,12.33458,False,-0.1280336,-0.7328553,-0.215939,329.8063,239.0451,335.7492,False
0.02679443,-0.01065588,-0.4624194,0.01289105,354.258,185.0649,358.0514,-0.03359795,-0.7306796,-0.2457433,309.85,160.5246,12.10688,False,-0.1294813,-0.7310921,-0.2169242,329.8608,239.1162,336.114,False
0.03790665,-0.01092911,-0.4622692,0.01310301,354.1521,185.1945,358.0257,-0.03605032,-0.7287332,-0.2470336,309.7545,161.32,11.73389,False,-0.1304908,-0.7295432,-0.2170382,329.8585,239.2649,336.3277,False
0.04901886,-0.01118326,-0.4620464,0.01328802,354.0691,185.3136,358.0242,-0.03777027,-0.7272236,-0.2478547,309.7021,161.8322,11.43214,False,-0.1318483,-0.7279278,-0.216994,329.7379,239.6074,336.4137,False
0.06012726,-0.01141548,-0.4617996,0.01356912,353.9782,185.4547,358.0206,-0.03980207,-0.7251331,-0.2483683,309.5132,162.5167,11.19359,False,-0.1332846,-0.7260717,-0.2165689,329.6353,240.269,336.2654,False
0.07123947,-0.01170063,-0.4616276,0.01385546,353.8791,185.5846,357.9953,-0.04181957,-0.7229503,-0.2488685,309.2261,162.9958,11.2944,False,-0.1353378,-0.7242945,-0.2162757,329.6579,240.8484,335.9839,False
0.08235168,-0.0119276,-0.4614344,0.01409626,353.7799,185.715,358.0056,-0.04376078,-0.7210706,-0.2492263,308.9,163.5501,11.24323,False,-0.1373444,-0.7224287,-0.2156043,329.7226,241.7319,335.2386,False
0.0934639,-0.01214743,-0.4611849,0.01442528,353.6887,185.8557,357.9966,-0.04528713,-0.7188578,-0.2492275,308.5238,163.9492,11.13762,False,-0.1385355,-0.7212366,-0.2146747,329.6826,242.4308,334.8273,False
0.1045723,-0.01241398,-0.4610069,0.01472378,353.5826,185.9748,357.9778,-0.04741526,-0.7163643,-0.2492323,308.1575,164.3237,11.06121,False,-0.1407113,-0.7193345,-0.2136052,329.7344,243.3609,334.4216,False
0.1156845,-0.01262903,-0.4607489,0.0149889,353.4811,186.094,357.9883,-0.04927349,-0.7140821,-0.2492394,307.7727,164.7715,11.15564,False,-0.142477,-0.7175522,-0.2126131,329.7671,244.2559,334.0044,False
0.1267967,-0.01285219,-0.460508,0.01539874,353.3566,186.2196,357.9765,-0.05086231,-0.7120119,-0.2491705,307.4794,165.1795,11.29988,False,-0.1442704,-0.7166593,-0.2118816,329.6579,244.9951,333.5649,False
0.1379051,-0.01303244,-0.46029,0.01565528,353.242,186.3339,357.9686,-0.05274248,-0.7095947,-0.2491953,307.076,165.6301,11.4042,False,-0.1458788,-0.7147208,-0.2109098,329.5875,245.8859,333.0551,False
0.1490173,-0.01320457,-0.4600348,0.01596045,353.1254,186.4345,357.9614,-0.05467653,-0.7072877,-0.2489889,306.7303,165.9813,11.57877,False,-0.1475587,-0.7123519,-0.2099698,329.5163,246.6931,332.5602,False
0.1601295,-0.01335478,-0.4597802,0.0164175,352.9969,186.5513,357.9565,-0.05633593,-0.7048635,-0.2488604,306.4138,166.2968,11.8232,False,-0.1489096,-0.7102044,-0.2088766,329.4183,247.4547,332.1457,False
0.1712418,-0.01349449,-0.4595816,0.01669717,352.8877,186.6308,357.9491,-0.05785561,-0.7027436,-0.2486906,306.1213,166.5242,11.93415,False,-0.149776,-0.7083377,-0.2082596,329.3282,248.089,331.77,False
0.1823502,-0.01363707,-0.4593358,0.01701283,352.7906,186.7012,357.945,-0.05928516,-0.7004939,-0.2483909,305.7851,166.7499,12.13143,False,-0.1512237,-0.7061355,-0.2074041,329.3136,248.803,331.3406,False
0.1934624,-0.01375771,-0.4591508,0.01749778,352.6815,186.7874,357.9311,-0.06080532,-0.6979445,-0.2481549,305.4324,166.9872,12.32092,False,-0.1522789,-0.7040467,-0.206331,329.2139,249.4623,330.8668,False
