Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.005615234,-0.01625085,-0.4676882,-0.02818918,355.9249,182.1437,357.3645,-0.06429315,-0.7076935,-0.2610459,303.5934,167.1413,15.46829,False,-0.1463085,-0.7093635,-0.2165284,323.907,253.1229,309.3157,False
0.01673889,-0.01644623,-0.4678937,-0.02762318,355.8389,182.2254,357.2942,-0.0656724,-0.706134,-0.2610183,303.3298,167.4636,14.93709,False,-0.1471838,-0.7082503,-0.216475,324.0452,253.0644,309.2198,False
0.02784729,-0.01671755,-0.4679644,-0.0269866,355.7323,182.3076,357.2393,-0.06674695,-0.704623,-0.2604251,302.937,167.6947,14.47454,False,-0.1478322,-0.7066254,-0.2163525,324.1098,253.0634,309.3119,False
0.03895569,-0.01689565,-0.4680847,-0.02633858,355.6268,182.3795,357.1854,-0.06786859,-0.7028618,-0.2596731,302.5864,167.9131,14.2869,False,-0.1488072,-0.7051817,-0.2160673,324.1559,253.0275,309.4514,False
0.05006409,-0.01746309,-0.4673475,-0.03553295,355.5174,182.4557,357.1247,-0.06922543,-0.6998718,-0.2692685,302.2577,168.3226,14.10045,False,-0.1496981,-0.7027208,-0.2255688,324.2558,253.279,309.3394,False
0.06117249,-0.01804101,-0.4666234,-0.04464769,355.3688,182.5149,357.0652,-0.07044494,-0.6969441,-0.2787433,302.024,168.7177,13.90692,False,-0.1509659,-0.7003098,-0.2349906,324.3947,253.4571,309.1346,False
0.07229614,-0.01856971,-0.4658444,-0.05372238,355.2298,182.5749,356.9973,-0.07177508,-0.6942354,-0.2885251,301.7891,169.1786,13.63918,False,-0.1518875,-0.6981484,-0.2443252,324.4698,253.8087,308.7535,False
0.08340454,-0.01911569,-0.4649575,-0.0626874,355.0952,182.6483,356.9643,-0.07305849,-0.691298,-0.2982535,301.566,169.74,13.28608,False,-0.1529704,-0.6955086,-0.2535896,324.5503,254.2104,308.4129,False
0.09451294,-0.01965916,-0.4640621,-0.07150888,354.9607,182.7019,356.9123,-0.07460618,-0.6882638,-0.3080001,301.2231,170.1295,13.20343,False,-0.1541313,-0.6927823,-0.2626896,324.6269,254.6391,307.9847,False
0.1056213,-0.02017128,-0.4631903,-0.08036852,354.8172,182.7595,356.8662,-0.07569134,-0.6854242,-0.3176003,301.0457,170.3972,13.16212,False,-0.1551822,-0.6901739,-0.2717471,324.6541,254.9801,307.815,False
0.1167297,-0.02067685,-0.4621059,-0.08902884,354.6822,182.8314,356.8256,-0.07649064,-0.6826997,-0.3273168,300.9899,170.3763,13.3611,False,-0.1561087,-0.6875373,-0.2809725,324.6669,255.3429,307.8364,False
0.1278381,-0.0211916,-0.4610978,-0.09764624,354.503,182.8905,356.7825,-0.07759643,-0.6794416,-0.3368011,300.7263,170.5026,13.41503,False,-0.1570631,-0.6845571,-0.2899585,324.7168,255.7554,307.5785,False
0.1389618,-0.02163112,-0.4599421,-0.1062255,354.295,182.9495,356.7336,-0.0784297,-0.676597,-0.3462291,300.6234,170.5699,13.49026,False,-0.1579374,-0.6818503,-0.2989087,324.6957,256.0804,307.3686,False
0.1500702,-0.02212346,-0.458541,-0.1147094,354.0694,183.015,356.7067,-0.07920361,-0.673861,-0.3557968,300.5926,170.6364,13.46455,False,-0.1588402,-0.6791959,-0.3084455,324.6315,256.2392,307.4183,False
0.1611786,-0.02260113,-0.4572239,-0.1231327,353.7955,183.0711,356.6458,-0.08014512,-0.6707484,-0.3653517,300.455,170.8129,13.33174,False,-0.1594828,-0.6760383,-0.3178015,324.5728,256.435,307.3253,False
0.172287,-0.02300799,-0.4557382,-0.1315346,353.4837,183.1294,356.6124,-0.08105159,-0.6679336,-0.374887,300.5158,170.9387,13.20433,False,-0.160143,-0.6730483,-0.3269658,324.4223,256.5213,307.3118,False
0.1833954,-0.02345455,-0.4540337,-0.1398554,353.1664,183.1875,356.5733,-0.08185101,-0.6650306,-0.3846116,300.6635,171.0442,13.0914,False,-0.1609606,-0.6700217,-0.3365016,324.3493,256.6285,307.3334,False
0.1945038,-0.02385139,-0.4524125,-0.1480842,352.8279,183.2405,356.5514,-0.0824604,-0.6624603,-0.3944702,300.7905,171.0425,13.10307,False,-0.1613539,-0.6670886,-0.346118,324.2407,256.6221,307.3771,False
0.2056274,-0.02417386,-0.4506633,-0.156363,352.4975,183.2873,356.5343,-0.08300519,-0.6599269,-0.4042954,301.0441,170.9562,13.2325,False,-0.1617899,-0.6640381,-0.3555551,324.0739,256.6627,307.4254,False
0.2167358,-0.02454972,-0.4486723,-0.1645632,352.1651,183.3168,356.5383,-0.08365667,-0.6571906,-0.4142942,301.3016,170.8977,13.32619,False,-0.1623631,-0.6610188,-0.3654957,323.9309,256.6189,307.6218,False
0.2278442,-0.02489531,-0.4467996,-0.172689,351.7828,183.3474,356.5434,-0.08395422,-0.6545906,-0.4244189,301.5515,170.6909,13.66209,False,-0.1625302,-0.6579245,-0.3754344,323.7755,256.4846,307.954,False
0.2389526,-0.02517974,-0.444766,-0.1809044,351.382,183.3629,356.5489,-0.08437276,-0.6522876,-0.4343214,301.7997,170.4982,14.01375,False,-0.1626791,-0.6548291,-0.3852048,323.534,256.3014,308.426,False
0.250061,-0.02548075,-0.4423901,-0.1889925,350.9406,183.3696,356.5843,-0.08470058,-0.6497443,-0.4444427,302.0951,170.2682,14.55914,False,-0.1630144,-0.6516258,-0.3955426,323.3369,256.0455,309.0343,False
0.2611847,-0.02583754,-0.4402556,-0.1969829,350.4955,183.3727,356.6126,-0.08515334,-0.6468667,-0.45434,302.2768,170.1966,14.86582,False,-0.1631839,-0.6480575,-0.405571,323.1789,255.7507,309.5349,False
0.2722931,-0.02609181,-0.4379426,-0.2050681,350.0593,183.3632,356.6484,-0.08567142,-0.6441798,-0.4640212,302.3962,170.1906,14.99419,False,-0.1634681,-0.6451892,-0.4154649,323.066,255.38,309.8635,False
0.2834015,-0.02633619,-0.4353583,-0.2130466,349.6373,183.3542,356.6885,-0.08624721,-0.6408747,-0.4734473,302.3792,170.3472,14.83348,False,-0.1640246,-0.6420074,-0.4258127,323.0886,254.9432,310.1016,False
0.2945099,-0.02666759,-0.4329956,-0.2209773,349.2124,183.3433,356.7097,-0.08672428,-0.6371658,-0.4827147,302.1801,170.2791,14.69306,False,-0.1645516,-0.6385624,-0.4358444,323.2082,254.4926,310.183,False
0.3056183,-0.02690315,-0.43045,-0.2290473,348.7831,183.3414,356.7271,-0.08722818,-0.6336195,-0.4916081,302.0394,170.1307,14.64855,False,-0.1650593,-0.635363,-0.4457703,323.3315,253.9491,310.4853,False
0.3167267,-0.02717686,-0.4276508,-0.2370491,348.351,183.3283,356.7697,-0.08750749,-0.6301262,-0.5007272,301.921,170.0552,14.5946,False,-0.1657698,-0.6322836,-0.4560609,323.5048,253.5358,310.8144,False
0.3278503,-0.02753079,-0.4250684,-0.244987,347.9099,183.343,356.7806,-0.08799136,-0.6259756,-0.5096498,301.6457,169.9785,14.49556,False,-0.1663634,-0.6286247,-0.4662004,323.7733,253.0201,311.1857,False
0.3389587,-0.0278666,-0.4222943,-0.2530513,347.4736,183.3452,356.7733,-0.08850539,-0.6221149,-0.5185738,301.4731,170.0201,14.27488,False,-0.1671956,-0.62518,-0.4759593,324.0244,252.4983,311.5691,False
0.3500671,-0.02816427,-0.4192474,-0.2610712,347.0401,183.3462,356.7888,-0.08912301,-0.618296,-0.5277772,301.36,170.2452,13.92445,False,-0.1679927,-0.6218824,-0.4862094,324.2656,252.1142,311.8893,False
0.3611755,-0.02860963,-0.4165334,-0.2689972,346.6251,183.354,356.7963,-0.08978939,-0.6140779,-0.5368581,301.1522,170.4554,13.63825,False,-0.1687751,-0.6179184,-0.4960475,324.5137,251.6951,312.1999,False
0.3722839,-0.02895558,-0.4136183,-0.2771301,346.218,183.3542,356.7972,-0.09050739,-0.6100399,-0.5459609,301.0353,170.7686,13.34001,False,-0.1693814,-0.6141527,-0.5058689,324.718,251.3695,312.5172,False
0.3833923,-0.02932727,-0.4103842,-0.285274,345.8341,183.3525,356.8335,-0.0913626,-0.6058643,-0.5557451,300.9905,171.0233,13.1968,False,-0.1700991,-0.6102839,-0.5159492,324.902,251.1801,312.8235,False
0.394516,-0.02981436,-0.4075145,-0.293293,345.451,183.3501,356.8488,-0.09199131,-0.6018467,-0.5652609,300.904,171.1878,13.05264,False,-0.1705291,-0.6062986,-0.5257339,324.9856,251.1426,313.0587,False
0.4056244,-0.03023911,-0.4044294,-0.301517,345.0706,183.3504,356.8665,-0.0925076,-0.5978031,-0.5747609,300.9162,171.4043,12.87067,False,-0.1712462,-0.6020315,-0.5352688,325.0571,251.0698,313.3336,False
0.4167328,-0.03062809,-0.4010653,-0.3097315,344.7119,183.3546,356.8876,-0.09324312,-0.5936825,-0.5850139,301.1388,171.7697,12.65046,False,-0.1717898,-0.5977206,-0.54498,324.97,251.33,313.3947,False
0.4278412,-0.03113186,-0.3980618,-0.3178473,344.3479,183.358,356.8911,-0.09365439,-0.5897455,-0.5950766,301.2485,171.9837,12.56229,False,-0.1723557,-0.5933392,-0.5543594,324.9279,251.4803,313.3671,False
0.4389496,-0.03157783,-0.3947668,-0.3263564,344.0393,183.353,356.9096,-0.09423101,-0.5857589,-0.6050291,301.4856,172.2617,12.3882,False,-0.172722,-0.588883,-0.5635633,324.7753,251.773,313.2656,False
0.4500732,-0.03194916,-0.3915097,-0.3345923,343.7297,183.3664,356.9225,-0.09509635,-0.5815693,-0.6152143,301.6924,172.5834,12.12846,False,-0.1729754,-0.5842719,-0.5726714,324.6748,252.0565,313.2759,False
0.4611816,-0.03247607,-0.3884077,-0.3428545,343.4394,183.379,356.914,-0.09571564,-0.5772113,-0.6251497,301.8104,172.7992,11.97798,False,-0.1733452,-0.5794635,-0.5816331,324.59,252.4389,313.2218,False
0.47229,-0.0329566,-0.385143,-0.3512793,343.1377,183.3891,356.917,-0.09613287,-0.5732706,-0.6348395,301.9193,172.7987,12.17872,False,-0.1735942,-0.5753727,-0.590569,324.4733,252.7894,313.0688,False
0.4833984,-0.03342533,-0.381573,-0.3596973,342.848,183.3996,356.9373,-0.09655762,-0.5688469,-0.6444683,301.9824,172.7596,12.40885,False,-0.1738838,-0.5707365,-0.59969,324.3663,253.0969,313.0108,False
0.4945068,-0.03399539,-0.3783116,-0.3680458,342.5477,183.4182,356.9275,-0.09687281,-0.5641507,-0.6541066,301.9749,172.7311,12.57092,False,-0.1740915,-0.5659639,-0.6086431,324.2351,253.3506,312.8989,False
0.5056152,-0.03450835,-0.3748816,-0.3765335,342.24,183.4316,356.9298,-0.09711587,-0.5599921,-0.6633105,301.9266,172.5535,12.7669,False,-0.1743082,-0.5616969,-0.6176333,324.0979,253.5279,312.796,False
