Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.002349854,-0.09285665,-0.1782292,-0.005689621,353.3222,181.7493,358.297,-0.1216128,-0.3898319,-0.2969427,309.7191,168.6027,7.979839,False,-0.2093799,-0.3973835,-0.2664471,329.1022,234.7217,323.2277,False
0.01345825,-0.09285665,-0.1782292,-0.005689621,353.3222,181.7493,358.297,-0.1216128,-0.3898319,-0.2969427,309.7191,168.6027,7.979839,False,-0.2093799,-0.3973835,-0.2664471,329.1022,234.7217,323.2277,False
0.02456665,-0.1135802,-0.1757244,-0.02464962,352.986,181.8576,358.2238,-0.1429117,-0.385532,-0.3167601,309.719,168.5941,8.356099,False,-0.2304978,-0.3924309,-0.285924,328.899,234.9566,323.2964,False
0.03567505,-0.1240032,-0.1744412,-0.03401566,352.821,181.9018,358.2091,-0.1537395,-0.382473,-0.3268175,309.6913,168.6061,8.586252,False,-0.2412395,-0.3891519,-0.2956152,328.7111,235.128,323.3557,False
0.04678345,-0.1343884,-0.1731573,-0.04343128,352.6433,181.9516,358.1989,-0.1644626,-0.3796757,-0.3368416,309.6594,168.6423,8.710162,False,-0.2519612,-0.3862827,-0.3052979,328.6174,235.282,323.355,False
0.05789185,-0.1447968,-0.1718458,-0.05276394,352.4939,181.9896,358.1528,-0.1754045,-0.3766962,-0.3467989,309.617,168.6971,8.878863,False,-0.26279,-0.38313,-0.3150415,328.5623,235.4836,323.2876,False
0.06900024,-0.1552708,-0.1705538,-0.06209946,352.3473,182.0353,358.1322,-0.1862531,-0.3731762,-0.3567009,309.4782,168.7596,8.936004,False,-0.2736785,-0.3798256,-0.3247042,328.4624,235.6367,323.1339,False
0.08013916,-0.1656613,-0.1692417,-0.07144642,352.1854,182.0848,358.0977,-0.1971943,-0.3697844,-0.3665028,309.3629,168.7794,8.953349,False,-0.2844851,-0.3765256,-0.3344669,328.3782,235.763,323.033,False
0.09124756,-0.1760831,-0.1678399,-0.08076572,352.0458,182.1122,358.0749,-0.2079504,-0.3669078,-0.3762341,309.3055,168.8193,9.004809,False,-0.2952275,-0.3736459,-0.3442354,328.3705,235.8847,322.9571,False
0.102356,-0.1865082,-0.1664931,-0.09001541,351.884,182.1413,358.063,-0.2186613,-0.3633381,-0.3861771,309.2034,168.822,9.068518,False,-0.3059092,-0.3701466,-0.3540487,328.2796,235.9668,322.923,False
0.1134644,-0.1968832,-0.1651545,-0.09931469,351.7043,182.1626,358.0343,-0.2293403,-0.3600037,-0.3961506,309.21,168.7629,9.254722,False,-0.3164418,-0.3666682,-0.3638906,328.1517,236.0649,323.0067,False
0.1245728,-0.2072928,-0.1637117,-0.1085835,351.5692,182.1555,358.0319,-0.239784,-0.3574048,-0.4061775,309.3203,168.7114,9.593884,False,-0.3266664,-0.3637285,-0.3736258,328.0253,236.1437,323.1849,False
0.1356812,-0.2177072,-0.1623216,-0.1177492,351.4242,182.1772,358.0445,-0.2500033,-0.3542434,-0.4163923,309.432,168.5141,10.16403,False,-0.3369191,-0.3599881,-0.3835707,327.7923,236.2377,323.3897,False
0.1467896,-0.2280536,-0.1609483,-0.1270208,351.2749,182.1903,358.0339,-0.2600439,-0.3513284,-0.4266663,309.6082,168.1741,10.89302,False,-0.3469744,-0.3562686,-0.3933535,327.4374,236.286,323.7501,False
0.1578979,-0.2384534,-0.1595032,-0.136261,351.1589,182.1892,358.0172,-0.2701693,-0.3486669,-0.4367847,309.7477,167.9079,11.51887,False,-0.3568318,-0.3527695,-0.4031372,327.1011,236.3011,324.0399,False
