Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.008544922,-0.001623154,-0.1977507,-0.01250505,8.484654,265.0134,359.1021,-0.260828,-0.4539133,-0.002103806,314.0969,247.9373,6.584406,False,-0.2287169,-0.4635237,0.07599115,328.107,309.6706,337.5344,False
0.01965332,-0.001623154,-0.1977507,-0.01250505,8.484654,265.0134,359.1021,-0.260828,-0.4539133,-0.002103806,314.0969,247.9373,6.584406,False,-0.2287169,-0.4635237,0.07599115,328.107,309.6706,337.5344,False
0.03076172,-0.002360344,-0.1976649,-0.01246166,8.567935,264.9115,359.1071,-0.2625012,-0.4527439,0.001410961,314.1199,248.9231,5.839241,False,-0.2294769,-0.4631465,0.07854891,328.511,310.3402,337.3705,False
0.04187012,-0.002693653,-0.1974179,-0.01235819,8.522085,264.8654,359.1119,-0.2626166,-0.4523184,0.002053738,314.121,249.2116,5.592559,False,-0.2294984,-0.4629464,0.07980013,328.6138,310.5138,337.3033,False
0.05297852,-0.003063202,-0.1972022,-0.01224995,8.47821,264.8251,359.103,-0.2631168,-0.4518957,0.003277779,314.1109,249.5669,5.378475,False,-0.2299047,-0.4627835,0.08084202,328.7827,310.7489,337.1411,False
0.06408691,-0.00412035,-0.1961156,-0.01179457,8.081593,264.7919,359.0578,-0.2639165,-0.4503694,0.006143093,313.9685,250.5467,4.987044,False,-0.22995,-0.4620175,0.08328867,329.0419,311.6083,336.727,False
0.07519531,-0.004588127,-0.1955611,-0.01147318,7.850012,264.8055,359.0337,-0.2642698,-0.4494805,0.007855415,313.8345,251.0353,4.86448,False,-0.2300153,-0.4615334,0.08495426,329.0673,312.1694,336.5598,False
0.08630371,-0.005021572,-0.1950306,-0.0110774,7.598025,264.8167,358.9866,-0.2648449,-0.4486063,0.009794712,313.6971,251.6755,4.660304,False,-0.2291899,-0.460767,0.08561325,329.138,312.7961,336.3871,False
0.09741211,-0.005613804,-0.1944517,-0.01069832,7.412841,264.8299,358.9294,-0.2650509,-0.4474858,0.01196575,313.2879,252.2601,4.263288,False,-0.2293143,-0.4601986,0.08708239,329.1756,313.4626,335.978,False
0.1085205,-0.006082535,-0.1940122,-0.01018238,7.22315,264.8815,358.8699,-0.2651858,-0.4463663,0.01419926,313.001,252.9556,3.882879,False,-0.2290816,-0.4597353,0.08912945,329.3688,313.9596,335.6697,False
0.1196289,-0.006627083,-0.193684,-0.009613037,7.028797,264.9599,358.7809,-0.265533,-0.445627,0.01602507,312.831,253.7025,3.613456,False,-0.228559,-0.459128,0.08998442,329.3622,314.3438,335.3116,False
0.1307373,-0.007286549,-0.1933533,-0.009036541,6.868066,265.0499,358.6587,-0.2660608,-0.4440143,0.01735115,312.7099,254.198,3.593096,False,-0.2284417,-0.4587963,0.09180403,329.3981,315.2592,334.9495,False
0.1418457,-0.007853985,-0.1930835,-0.008347511,6.737286,265.1754,358.5296,-0.2660952,-0.4439182,0.01944685,312.5572,254.8831,3.253405,False,-0.2284355,-0.4581525,0.09309912,329.4597,315.8113,334.7646,False
0.1529541,-0.00842905,-0.1928967,-0.007698059,6.647664,265.3204,358.4236,-0.2665973,-0.44328,0.02096462,312.4267,255.4899,3.072788,False,-0.2281413,-0.4577358,0.09397984,329.4761,316.2452,334.6649,False
0.1641235,-0.00911808,-0.1927299,-0.006989002,6.578823,265.4721,358.3257,-0.267024,-0.4426901,0.02273703,312.2407,256.1024,2.798969,False,-0.2282705,-0.4573977,0.09528255,329.434,316.86,334.3221,False
0.1752319,-0.0097332,-0.1926378,-0.0062356,6.503866,265.6422,358.222,-0.2674236,-0.4420854,0.0242734,312.1286,256.5918,2.663536,False,-0.2281442,-0.4572064,0.09698582,329.5629,317.3377,334.1813,False
0.1863403,-0.0102706,-0.1926298,-0.005541325,6.452907,265.8441,358.1306,-0.267848,-0.4417435,0.02568769,312.0024,257.1383,2.510046,False,-0.2279186,-0.456856,0.09770203,329.5617,317.7596,334.0494,False
0.1974487,-0.01092768,-0.1926528,-0.004746437,6.471471,266.0357,358.0427,-0.2682424,-0.4414035,0.026649,311.9526,257.4343,2.527082,False,-0.2281494,-0.4566782,0.09850121,329.4849,318.0752,333.901,False
0.2085571,-0.0114646,-0.192687,-0.003930092,6.508633,266.2311,357.9652,-0.2687383,-0.4410768,0.0277462,311.9286,257.7414,2.515528,False,-0.2282262,-0.4565021,0.09973335,329.5551,318.3623,333.9382,False
0.2196655,-0.01195097,-0.1928508,-0.003200531,6.554965,266.4457,357.9057,-0.2689567,-0.4410031,0.02859402,311.8137,258.0419,2.415837,False,-0.228066,-0.4562044,0.1004643,329.5481,318.6472,333.8643,False
0.2307739,-0.0125227,-0.1929773,-0.002440929,6.643952,266.6329,357.8875,-0.26933,-0.4400584,0.0291276,311.7748,258.1134,2.570869,False,-0.2284336,-0.456095,0.1010122,329.4622,318.8533,333.7036,False
0.2418823,-0.01304913,-0.1931248,-0.001654148,6.723231,266.8309,357.8443,-0.2695556,-0.4403181,0.02976513,311.6602,258.3043,2.493559,False,-0.2288966,-0.4560318,0.1018195,329.4811,319.0486,333.5901,False
0.2529907,-0.01352739,-0.193377,-0.0009346008,6.822224,267.0518,357.8199,-0.2697973,-0.4401379,0.03035641,311.6031,258.4863,2.353565,False,-0.2285295,-0.4564301,0.1022315,329.587,319.2465,333.3698,False
0.2640991,-0.01352739,-0.193377,-0.0009346008,6.822224,267.0518,357.8199,-0.2697973,-0.4401379,0.03035641,311.6031,258.4863,2.353565,False,-0.2285295,-0.4564301,0.1022315,329.587,319.2465,333.3698,False
0.2752075,-0.01407576,-0.1935018,-0.0002117157,6.950786,267.2564,357.7934,-0.2699757,-0.4395794,0.03091955,311.5403,258.6534,2.114434,False,-0.2289529,-0.4562944,0.1029172,329.7194,319.4015,332.9898,False
0.2863159,-0.01456356,-0.1937484,0.0005259514,7.101133,267.4742,357.7848,-0.2698302,-0.4396928,0.03174734,311.3963,258.9706,1.523007,False,-0.229176,-0.4571934,0.1038084,330.0197,319.5142,332.6624,False
0.2974243,-0.01497936,-0.1941197,0.00116539,7.247055,267.6862,357.8021,-0.2700768,-0.4396111,0.03255653,311.3307,259.3386,0.9090248,False,-0.2288818,-0.4575568,0.104197,330.3318,319.5805,332.3631,False
0.3085327,-0.01550102,-0.1943423,0.001841545,7.416193,267.8747,357.8242,-0.2702842,-0.4392776,0.03309679,311.2778,259.5765,0.698853,False,-0.229291,-0.4574656,0.1046743,330.481,319.7768,332.0936,False
0.3196411,-0.01597691,-0.194688,0.002452374,7.599101,268.0635,357.83,-0.2702703,-0.4396172,0.03379202,311.2195,259.8709,0.4885526,False,-0.2291522,-0.4582047,0.1052794,330.5062,320.0507,332.0124,False
0.3307495,-0.01635551,-0.1951127,0.002985001,7.746501,268.2436,357.8382,-0.2707686,-0.439981,0.03437471,311.2567,260.1582,0.5013328,False,-0.2294083,-0.4585696,0.1056337,330.537,320.3035,331.9984,False
0.3418579,-0.01674652,-0.1954118,0.003491879,7.903334,268.407,357.8488,-0.2710972,-0.4406457,0.03479147,311.2892,260.3848,0.6448422,False,-0.2288485,-0.4582642,0.1055212,330.4426,320.5883,332.0579,False
0.3529663,-0.01715946,-0.1957343,0.003967762,8.058275,268.5469,357.8569,-0.2713094,-0.44114,0.03528547,311.3737,260.5034,0.8129119,False,-0.2286777,-0.458792,0.1062155,330.3835,320.805,332.1317,False
0.3640747,-0.01748848,-0.1960219,0.004378319,8.207215,268.7008,357.8639,-0.2716479,-0.4414672,0.03566122,311.4019,260.6275,0.7941682,False,-0.2285299,-0.4591382,0.1063857,330.4597,320.8255,332.1085,False
0.3751831,-0.01787567,-0.1961354,0.00477314,8.347089,268.8118,357.8672,-0.2718692,-0.442024,0.03596926,311.386,260.7491,0.5993444,False,-0.228909,-0.4593422,0.1068063,330.5836,320.8719,331.9394,False
0.3862915,-0.01830912,-0.1963223,0.005134106,8.489902,268.937,357.8892,-0.2720413,-0.4423254,0.03649092,311.3541,260.9662,0.2296642,False,-0.2290802,-0.4603316,0.1074395,330.7325,320.9491,331.8396,False
0.3973999,-0.0186615,-0.1964371,0.005473614,8.603491,269.0425,357.905,-0.272234,-0.4427017,0.03692961,311.3977,261.2157,359.8651,False,-0.2290144,-0.4607679,0.1077466,330.933,320.9535,331.793,False
0.4085693,-0.01905441,-0.1964329,0.005821705,8.672006,269.1379,357.9306,-0.2725043,-0.4430881,0.03739595,311.4217,261.4501,359.6639,False,-0.2294583,-0.4609869,0.1082149,331.0667,321.0825,331.7188,False
0.4196777,-0.0195322,-0.1964102,0.006164074,8.729753,269.219,357.9636,-0.2729678,-0.4435244,0.03795147,311.4647,261.6809,359.5922,False,-0.2297802,-0.4620233,0.1085715,331.1434,321.2881,331.7173,False
0.4307861,-0.01998758,-0.19638,0.006430149,8.752036,269.3032,358.0032,-0.2736826,-0.4440347,0.03856373,311.5483,261.9723,359.5542,False,-0.2297645,-0.4623898,0.108902,331.1942,321.5125,331.7884,False
0.4418945,-0.02050924,-0.1962348,0.006734848,8.766138,269.3671,358.0544,-0.2741928,-0.4440159,0.038939,311.6102,262.0781,359.7355,False,-0.2300806,-0.4623835,0.1092229,331.1914,321.7302,331.8134,False
0.4530029,-0.0211072,-0.1961025,0.007002831,8.795652,269.4193,358.0806,-0.274672,-0.444654,0.03976583,311.6405,262.4305,359.6931,False,-0.2303767,-0.4631038,0.1099591,331.2269,322.0294,331.8527,False
0.4641113,-0.02170181,-0.1960245,0.00727272,8.84311,269.4822,358.1196,-0.2756495,-0.4451118,0.04061174,311.6878,262.7885,359.5164,False,-0.2306752,-0.4635363,0.1105142,331.3474,322.2679,331.8648,False
0.4752197,-0.02232218,-0.1957808,0.007512569,8.885867,269.5195,358.0988,-0.2763319,-0.445221,0.04131603,311.7339,263.0217,359.4095,False,-0.2314148,-0.463723,0.1111226,331.4831,322.4683,331.7664,False
0.4863281,-0.02303457,-0.1956249,0.007733345,8.952872,269.5794,358.0692,-0.2769742,-0.4454945,0.04183245,311.7914,263.2766,359.1322,False,-0.2322993,-0.4641879,0.1118045,331.696,322.5066,331.7174,False
0.4974365,-0.02375889,-0.1954966,0.007976055,9.018038,269.6352,358.0514,-0.2779174,-0.4461121,0.04234648,311.8939,263.4895,358.8643,False,-0.2322168,-0.4646783,0.1119003,331.8393,322.6199,331.6638,False
0.5085449,-0.02454996,-0.1952347,0.00818634,9.081535,269.6851,358.0328,-0.2787142,-0.4463545,0.04266453,312.0557,263.524,358.7681,False,-0.2332587,-0.464734,0.1122885,332.0525,322.5562,331.7219,False
0.5196533,-0.02541161,-0.1950568,0.008398533,9.150471,269.7261,358.0029,-0.2793231,-0.4469039,0.04292154,312.1618,263.6135,358.5959,False,-0.2339482,-0.4655894,0.1125884,332.1747,322.4913,331.7856,False
0.5307617,-0.02632046,-0.1949527,0.008509636,9.219351,269.7772,357.9764,-0.2802701,-0.4473772,0.04323101,312.3538,263.712,358.368,False,-0.2343583,-0.4659876,0.11271,332.3564,322.4282,331.8784,False
0.5418701,-0.02722645,-0.1948127,0.008636951,9.282571,269.7835,357.9514,-0.2809496,-0.4476955,0.04346514,312.5701,263.7927,358.2127,False,-0.2352233,-0.4661627,0.1129112,332.5865,322.3505,332.0362,False
0.5529785,-0.02818918,-0.1948915,0.008672237,9.387331,269.7605,357.9209,-0.2816253,-0.4479697,0.0438056,312.7813,264.0724,357.8697,False,-0.2359729,-0.4662858,0.1131663,332.8453,322.19,332.3375,False
0.5640869,-0.02911568,-0.1952363,0.00863266,9.513898,269.7171,357.8868,-0.2822056,-0.4484334,0.04398489,312.961,264.1658,357.7669,False,-0.2363124,-0.4666879,0.1132722,332.9936,322.164,332.4589,False
0.5751953,-0.02989292,-0.1955818,0.008542061,9.6284,269.6535,357.8441,-0.2825656,-0.4494005,0.04426289,313.1861,264.225,357.7549,False,-0.2368073,-0.4673679,0.113472,333.1658,322.1592,332.6034,False
