Time,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftClick,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightClick
0.006774902,-0.002164841,-0.1754973,-0.09950256,2.813126,179.1016,359.5375,-0.08442831,-0.3556556,-0.393055,320.6615,218.7935,356.2534,False,0.0002541542,-0.3696769,-0.4189596,317.4163,154.5645,14.24689,False
0.01791382,-0.001953602,-0.1764653,-0.1004019,3.2805,179.0743,359.5417,-0.08404303,-0.3578583,-0.3939209,320.7298,218.6716,357.1609,False,0.0001144409,-0.3716537,-0.4205208,317.807,154.9218,14.05819,False
0.02902222,-0.001738548,-0.1775689,-0.1013603,3.750732,179.0359,359.5496,-0.08314133,-0.3611314,-0.3954201,321.0139,218.7386,358.2595,False,-0.0002098083,-0.375077,-0.4221764,318.1964,155.5307,13.65707,False
0.04013062,-0.001555443,-0.1787022,-0.102313,4.226406,179.0168,359.545,-0.08310509,-0.3642997,-0.3966169,321.278,218.8125,359.0219,False,-0.0004954338,-0.3786327,-0.4238977,318.6782,156.0371,13.55094,False
0.05123901,-0.00135088,-0.1796732,-0.1032591,4.671411,178.9975,359.5465,-0.0831666,-0.3680936,-0.3976355,321.4749,218.7879,359.8111,False,-0.000772953,-0.3821216,-0.4256144,319.2504,156.4369,13.65654,False
0.06234741,-0.00114584,-0.1807195,-0.1042471,5.092859,178.9895,359.5545,-0.0829215,-0.3711954,-0.3987341,321.7242,218.8942,0.3968023,False,-0.0009880066,-0.3864017,-0.4273367,319.9037,156.9152,13.71823,False
0.07345581,-0.001005173,-0.1817836,-0.1053295,5.527021,178.984,359.5759,-0.08290672,-0.3743292,-0.3996878,321.8997,218.8031,0.9554933,False,-0.001191139,-0.3900629,-0.4289742,320.4716,157.159,13.818,False
0.08456421,-0.0007653236,-0.1826825,-0.1063261,5.936965,178.9802,359.6191,-0.08239651,-0.3787159,-0.400897,321.9821,218.5603,1.97574,False,-0.001473904,-0.3946573,-0.4304523,321.047,157.3238,13.93581,False
0.09567261,-0.0004863739,-0.1837668,-0.1073542,6.363863,178.9721,359.6582,-0.08222294,-0.3820107,-0.4024115,322.0807,218.2247,2.997439,False,-0.001662254,-0.3990881,-0.4318419,321.56,157.4306,14.03201,False
0.106781,-0.0003232956,-0.1848595,-0.1083965,6.824746,178.9687,359.7134,-0.0819869,-0.3850876,-0.4034662,322.1684,217.9842,3.763787,False,-0.001457691,-0.4027959,-0.4328346,322.0088,157.3507,14.20387,False
